City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Pisco,PE,-13.7,-76.2167,55.45,88,40,2.3,smoke
180,San Cristobal,VE,7.7669,-72.225,73.58,90,99,3.49,overcast clouds
181,Rocha,UY,-34.4833,-54.3333,45.73,82,100,15.86,overcast clouds
182,Mindelo,CV,16.8901,-24.9804,74.75,73,20,9.22,few clouds
183,Sayat,TM,38.7839,63.8803,87.67,18,0,17.63,clear sky
184,Faya,SA,18.3851,42.4509,68.52,42,100,5.61,overcast clouds
185,Yulara,AU,-25.2406,130.9889,63.39,32,1,14.88,clear sky
186,Veydelevka,RU,50.1521,38.4492,63.9,77,59,11.81,broken clouds
187,Tasiilaq,GL,65.6145,-37.6368,42.96,75,100,1.74,overcast clouds
188,Ferrol,ES,43.4832,-8.2369,66.27,63,0,4.32,clear sky
189,Bulawayo,ZW,-20.15,28.5833,57.15,43,1,5.84,clear sky
190,Najran,SA,17.4924,44.1277,79.45,32,100,11.95,overcast clouds
191,Asau,RO,46.4333,26.4,60.28,45,8,10.0,clear sky
192,Kavieng,PG,-2.5744,150.7967,85.08,70,73,14.34,broken clouds
193,Shache,CN,38.4167,77.2406,84.31,27,75,4.36,broken clouds
194,Kulhudhuffushi,MV,6.6221,73.07,81.82,77,100,10.31,overcast clouds
195,Chumikan,RU,54.7183,135.315,53.53,99,100,0.98,overcast clouds
196,Barcelos,PT,41.5388,-8.6151,73.54,47,25,6.85,scattered clouds
197,Langsa,ID,4.4683,97.9683,83.26,74,100,1.74,moderate rain
198,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,20.71,moderate rain
199,Shambu,ET,9.5667,37.1,50.99,96,100,0.94,light rain
200,Rovnoye,RU,50.7765,46.0509,78.71,45,92,11.27,overcast clouds
201,Iroquois Falls,CA,48.7669,-80.6831,51.08,98,100,9.31,overcast clouds
202,Mahon,ES,39.8885,4.2658,75.76,88,0,3.44,clear sky
203,Brokopondo,SR,4.75,-55.1667,75.56,91,89,4.88,overcast clouds
204,Kendal,GB,54.3268,-2.7476,64.6,85,100,4.34,overcast clouds
205,Chokurdakh,RU,70.6333,147.9167,58.37,78,100,13.22,overcast clouds
206,Cidreira,BR,-30.1811,-50.2056,56.89,93,100,14.94,light rain
207,Luderitz,NA,-26.6481,15.1594,54.54,61,0,12.66,clear sky
208,Monrovia,LR,6.3005,-10.7969,75.47,87,100,8.75,light rain
209,Palana,RU,59.1167,159.9667,56.26,85,51,6.6,broken clouds
210,Bilma,NE,18.6853,12.9164,91.54,18,65,8.14,broken clouds
211,Temiscaming,CA,46.7212,-79.0971,67.51,83,100,1.14,light rain
212,Luba,GQ,3.4568,8.5547,75.09,84,87,9.17,overcast clouds
213,Riyadh,SA,24.6877,46.7219,93.34,10,100,18.45,overcast clouds
214,Furtwangen,DE,48.05,8.2,56.26,86,84,3.09,broken clouds
215,Victor Harbor,AU,-35.5667,138.6167,54.0,86,52,15.97,broken clouds
216,Athboy,IE,53.6186,-6.9206,62.89,84,100,5.99,overcast clouds
217,Lang Suan,TH,9.9456,99.0785,78.51,84,100,17.76,overcast clouds
218,Mahebourg,MU,-20.4081,57.7,75.25,60,40,17.27,scattered clouds
219,Chake Chake,TZ,-5.2459,39.7666,75.96,74,91,11.81,light rain
220,Winslow,US,35.0242,-110.6974,75.38,38,0,4.61,clear sky
221,Tongliao,CN,43.6125,122.2653,87.01,41,88,10.47,overcast clouds
222,Laguna De Duero,ES,41.5815,-4.7233,69.64,57,0,6.91,clear sky
223,Biak,ID,-0.9131,122.8766,80.28,72,90,6.82,light rain
224,Yelnya,RU,54.5786,33.1837,56.98,96,100,12.75,overcast clouds
225,Matay,EG,28.419,30.7792,79.45,54,16,14.79,few clouds
226,Banepa,NP,27.6298,85.5214,80.92,65,40,3.44,scattered clouds
227,Souillac,MU,-20.5167,57.5167,71.98,60,40,17.27,scattered clouds
228,Dudinka,RU,69.4058,86.1778,51.62,51,95,17.69,overcast clouds
229,Sitka,US,57.0531,-135.33,55.29,76,75,9.22,broken clouds
230,Gwanda,ZW,-20.9333,29.0,57.24,41,0,5.12,clear sky
231,Namatanai,PG,-3.6667,152.4333,84.34,70,74,10.83,broken clouds
232,Benghazi,LY,32.1167,20.0667,78.15,62,0,11.77,clear sky
233,Pampa,US,35.5362,-100.9599,83.57,69,0,12.66,clear sky
234,Paraibano,BR,-6.4331,-43.9836,76.84,51,94,2.66,overcast clouds
235,Thomastown,IE,52.5267,-7.1372,64.44,90,100,4.85,overcast clouds
236,Calvinia,ZA,-31.4707,19.776,41.54,74,6,4.79,clear sky
237,Lebu,CL,-37.6167,-73.65,48.51,86,100,21.39,light rain
238,Lokosovo,RU,61.1333,74.8167,67.48,44,50,11.99,scattered clouds
239,Antofagasta,CL,-23.65,-70.4,56.48,66,12,7.63,few clouds
240,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,91,92,8.08,overcast clouds
241,Prince Rupert,CA,54.3161,-130.3201,53.69,84,40,5.75,scattered clouds
242,Aljezur,PT,37.3191,-8.8033,77.88,36,95,14.9,overcast clouds
243,Ilulissat,GL,69.2167,-51.1,42.82,93,100,2.3,light intensity shower rain
244,Kieta,PG,-6.2167,155.6333,83.66,71,21,6.76,few clouds
245,Manjacaze,MZ,-24.7117,33.8828,65.88,78,0,4.05,clear sky
246,Tamandare,BR,-8.7597,-35.1047,73.87,86,43,1.59,scattered clouds
247,Coruripe,BR,-10.1256,-36.1756,72.32,91,24,3.69,few clouds
248,Kholm,RU,59.2667,32.85,71.71,85,88,9.6,overcast clouds
249,Namibe,AO,-15.1961,12.1522,64.36,89,0,6.51,clear sky
250,Hasaki,JP,35.7333,140.8333,81.28,87,100,8.14,light rain
251,Kanniyakumari,IN,8.0833,77.5667,84.07,70,100,22.08,overcast clouds
252,Qaanaaq,GL,77.484,-69.3632,41.0,77,83,6.76,broken clouds
253,Eureka,US,40.8021,-124.1637,70.66,85,13,1.52,few clouds
254,Buchanan,LR,5.8808,-10.0467,74.95,87,100,7.7,overcast clouds
255,Huron,US,41.1501,-82.5499,78.26,94,42,14.56,scattered clouds
256,Billings,US,45.7833,-108.5007,73.17,51,0,7.0,clear sky
257,Clonakilty,IE,51.6231,-8.8706,62.1,84,100,4.21,light rain
